Indian Port,Cush,BE_NO,BE_DATE,CTH,ITEM,QTY,UQC,UNIT_VALUE_INR,InvoiceUnitPriceFC,Invoice_Currency,TOTAL_VALUE,UPI,Total_Duty_Paid,IEC,IMPORTER,ADDRESS,CITY,Supp_Name,Supp_Address,CHA_NAME,Port_Of_Shipment,COUNTRY,source_file,yyyymm,GRADE_SPEC,outlier_reason_item,outlier_reason_text,outlier_reason_qty,outlier_reason_price,outlier_reason_usp,unit_price
Jnpt,Innsa1,0,2026-02-07,29419090,Azithromycin Amine. (Not For Medicine Use). Azithromycin Amine. (Not For Medicine Use).,5000.0,KG,11148.72,11148.72,Inr,55743596.0,,15460487.0,3498003259,Envee Drugs Pvt Ltd,"N.H. No.8, B/H. K. Manibhai Godown Dumral, Tal. Nadiad",Dist. Kheda (Gujarat),Ningxia Taiyicin Biotech Co Ltd,"Ningxia Taiyicin Biotech Co.Ltd.No.1 Pacific Road,Nuanquan Industri Al Zone,Helan,County,Yinchuan,Ningx Ia ., , China Chinachina",29,Shanghai,CHINA,data\raw\azithromycin_202603.xlsx,202602,USP,"The item description indicates it is not for medicinal use, suggesting it may not be a relevant pharmaceutical grade substance.","The item description indicates it is not for medicinal use, suggesting it may not be a relevant pharmaceutical grade substance.",False,False,,
Bombay Air Cargo,Inbom4,0,2026-02-05,29419090,Azithromycin Amine (Not For Medicinal Use) Azithromycin Amine (Not For Medicinal Use),2500.0,KG,11291.76,11291.76,Inr,28229392.0,,7829422.0,0389021601,Anuh Pharma Ltd,"3-A, Shiv Sagar Estate, North Wing, Dr. Annie Besant Road, Worli,","Bombay ,Maharashtra",Sinobright Pharmaceutical Industries Ltd,"Sinobright Pharmaceutical Industries Limitedoffice F, 32/F, Plaza 88 No.88, Yeu Ng Uk Road, Tsuen Wan, Hong Kong, Sdnf Chinachina",29,Shanghai - Pu Dong,CHINA,data\raw\azithromycin_202603.xlsx,202602,USP,"The item description indicates it is not for medicinal use, suggesting it is not an active pharmaceutical ingredient.","The item description indicates it is not for medicinal use, suggesting it is not an active pharmaceutical ingredient.",False,False,,
Jnpt,Innsa1,0,2026-02-05,29419090,Azithromycin Amine(Not For Medicinal Use) Azithromycin Amine(Not For Medicinal Use),1400.0,KG,11039.61,11039.61,Inr,15455460.0,,0.0,0389021601,Anuh Pharma Ltd,"3-A, Shiv Sagar Estate, North Wing, Dr. Annie Besant Road, Worli,","Bombay ,Maharashtra",Sinobright Pharmaceutical Industries Ltd,"Sinobright Pharmaceutical Industries Limitedoffice F,32/F,Plaza 88 No.88 Yeung Uk Road. Tsuen Wan, Nt,Hong Kong,Ch Ina Chinachina",29,Shanghai,CHINA,data\raw\azithromycin_202603.xlsx,202602,USP,"The item description indicates it is not for medicinal use, suggesting it may not be a relevant pharmaceutical form of azithromycin.","The item description indicates it is not for medicinal use, suggesting it may not be a relevant pharmaceutical form of azithromycin.",False,False,,
Jnpt,Innsa1,0,2026-02-10,29413090,Azithromycin Amine Having Purity Nmt 94% Azithromycin Amine Having Purity Nmt 94%,196.77,KG,11239.11,11239.11,Inr,2211496.5,,447496.31,0388036591,Mehta Pharmaceutical Industries,"314,Janki Centre,Plot No.29, Shah Indl Est,Off Veera Desai Rd",Andheri(W) Maharashtra,Ningxia Taiyicin Biotech Co Ltd,"Ningxia Taiyicin Biotech Co., Ltd.Pacific Road No. 1, Nuanquan Econom Ic Zone, Helan County,Yinchuan, Nin Gxia, China Chinachina",29,Shanghai,CHINA,data\raw\azithromycin_202603.xlsx,202602,USP,The item description indicates a purity specification (Nmt 94%) which suggests it may not be a pure active pharmaceutical ingredient.,The item description indicates a purity specification (Nmt 94%) which suggests it may not be a pure active pharmaceutical ingredient.,False,False,,
Jnpt,Innsa1,2243195,2025-05-23,29413090,Azithromycin Amine Having Purity Nmt 94 Persentage Azithromycin Amine Having Purity Nmt 94 Persentage,5235.0,KG,10743.46,124.3,Usd,56242016.0,,0.0,0388036591,Mehta Pharmaceutical Industries,314 Janki Centre Plot No.29 Shah Indl Est Off Veera Desai Rd,Andheri(W) Maharashtra,Heilongjiang Lianshun Biotech Co Ltd,"Jianghe Integration Green Intellige Nce Industrial Zone Xinli Village, Zhongxinhe Town, Qiezihe District, China",29,Shanghai,CHINA,data\raw\azithromycin_202603.xlsx,202505,USP,"The item description indicates a purity level of less than 94%, suggesting it may not be a pure form of azithromycin.","The item description indicates a purity level of less than 94%, suggesting it may not be a pure form of azithromycin.",False,False,,
Jnpt,Innsa1,2243195,2025-05-23,29413090,Azithromycin Amine Having Purity Nmt 94 Persentage Azithromycin Amine Having Purity Nmt 94 Persentage,5100.0,KG,10743.46,124.3,Usd,54791648.0,,15196464.0,0388036591,Mehta Pharmaceutical Industries,314 Janki Centre Plot No.29 Shah Indl Est Off Veera Desai Rd,Andheri(W) Maharashtra,Heilongjiang Lianshun Biotech Co Ltd,"Jianghe Integration Green Intellige Nce Industrial Zone Xinli Village, Zhongxinhe Town, Qiezihe District, China",29,Shanghai,CHINA,data\raw\azithromycin_202603.xlsx,202505,USP,"The item description indicates a purity level of less than 94%, suggesting it may not be a pure form of azithromycin.","The item description indicates a purity level of less than 94%, suggesting it may not be a pure form of azithromycin.",False,False,,
Jnpt,Innsa1,4366009,2025-09-08,29419090,Azithromycin Amine. (Not For Medicine Use). Azithromycin Amine. (Not For Medicine Use).,2000.0,KG,11041.27,124.0,Usd,22082550.0,,6124595.0,3498003259,Envee Drugs Pvt Ltd,"N.H. No.8, B/H. K. Manibhai Godown Dumral, Tal. Nadiad",,Ningxia Taiyicin Biotech Co Ltd,"Pacific Road No. 1, Nuanquan Econom Ic Zone, Helan County, Yinchuan, Ni Ngxia, China",29,Shanghai,CHINA,data\raw\azithromycin_202603.xlsx,202509,USP,"The item description indicates it is not for medicinal use, suggesting it may not be a relevant pharmaceutical grade substance.","The item description indicates it is not for medicinal use, suggesting it may not be a relevant pharmaceutical grade substance.",False,False,,
Bombay,Inbom4,2211009,2025-05-22,29419090,Y0000307 Azithromycin Impurity A Crs 1 Vial(S) Per Sales Unit ; 10 Mg Per Vialy0000307 Azithromycin Impurity A Crs 1 Vial(S) Per Sales Uni,2.0,NOS,7950.32,79.0,Eur,15900.65,,4410.0,0389021601,Anuh Pharma Ltd,3-A Shiv Sagar Estate North Wing Dr. Annie Besant Road Worli,"Bombay ,Maharashtra",Edqm Council Of Europe,"The Quality Of Medicines & Healthc Are)7 Allee Kastner Cs 30026F-67081 Strasbourgstrasbourg,,France France",29,Strasbourg,FRANCE,data\raw\azithromycin_202603.xlsx,202505,USP,"It is an impurity standard, related compound, or degradation product marker.","It is an impurity standard, related compound, or degradation product marker.",False,False,,
Bombay,Inbom4,2211009,2025-05-22,29419090,"Y0000641 Azithromycin For System Suitability Crs 1 Vial(S) Per Sales Unit ; 0,05 Mg Per Vialy0000641 Azithromycin For System Suitability Crs 1 Vial(S) P",4.0,NOS,7950.32,79.0,Eur,31801.3,,8820.1,0389021601,Anuh Pharma Ltd,3-A Shiv Sagar Estate North Wing Dr. Annie Besant Road Worli,"Bombay ,Maharashtra",Edqm Council Of Europe,"The Quality Of Medicines & Healthc Are)7 Allee Kastner Cs 30026F-67081 Strasbourgstrasbourg,,France France",29,Strasbourg,FRANCE,data\raw\azithromycin_202603.xlsx,202505,USP,It is a pharmacopoeial reference standard that only mentions the molecule name.,It is a pharmacopoeial reference standard that only mentions the molecule name.,False,False,,
Jnpt,Innsa1,2867601,2025-06-25,29419090,Azithromycin Amine Having Purity Nmt 94% Azithromycin Amine Having Purity Nmt 94%,12000.0,KG,10903.34,127.38,Usd,130840040.0,,36288484.0,0388036591,Mehta Pharmaceutical Industries,"314,Janki Centre,Plot No.29,,Shah Indl Est,Off Veera Desai Rd",Andheri(W) Maharashtra,Heilongjiang Lianshun Biotech Co Ltd,"Jianghe Integration Green Intellige Nce Industrial Zone Xinli Village, Zhongxinhe Town, Qiezihe District, China",29,Shanghai,CHINA,data\raw\azithromycin_202603.xlsx,202506,USP,The item description indicates a purity specification (Nmt 94%) which suggests it may not be a pure active pharmaceutical ingredient.,The item description indicates a purity specification (Nmt 94%) which suggests it may not be a pure active pharmaceutical ingredient.,False,False,,
Jnpt,Innsa1,0,2026-01-16,29419090,Azithromycin Ep11/Usp43/Ip2022 Azithromycin Ep11/Usp43/Ip2022,2000.0,KG,12950.0,142.0,Usd,25900800.0,,0.0,0390002518,Shalina Laboratories Pvt Ltd,"96,Maker Chamber Vi, Nariman Point,","Mumbai,Maharashtra",Zhejiang Guobang Pharmaceutical Co Ltd,"Zhejiang Guobang Pharmaceutical Co., Ltdno.6,Weiwu Road, Hangzhou Gulf Shan Gyu Economic And Technological Deve Lopment Zone, Zhejiang, P.R.,.,Chin Chinachina",29,Shanghai,CHINA,data\raw\azithromycin_202603.xlsx,202601,USP,It is a pharmacopoeial reference standard that only mentions the molecule name.,It is a pharmacopoeial reference standard that only mentions the molecule name.,False,False,,
Jnpt,Innsa1,2774601,2025-06-20,29419090,Azithromycin Amine. (Not For Medicine Use). Azithromycin Amine. (Not For Medicine Use).,2000.0,KG,10718.16,125.21,Usd,21436314.0,,5945362.0,3498003259,Envee Drugs Pvt Ltd,"N.H. No.8, B/H. K. Manibhai Godown,Dumral, Tal. Nadiad",Dist. Kheda (Gujarat),Ningxia Taiyicin Biotech Co Ltd,"Pacific Road No. 1, Nuanquan Econom Ic Zone, Helan County, Yinchuan, Ni Ngxia, China ., , China China",29,Shanghai,CHINA,data\raw\azithromycin_202603.xlsx,202506,USP,"The item description indicates it is not for medicinal use, suggesting it may not be a relevant pharmaceutical grade substance.","The item description indicates it is not for medicinal use, suggesting it may not be a relevant pharmaceutical grade substance.",False,False,,
Jnpt,Innsa1,2570147,2025-06-10,29419090,Azithromycin Amine. (Not For Medicine Use). Azithromycin Amine. (Not For Medicine Use).,1500.0,KG,10968.76,128.14,Usd,16453137.0,,4563277.5,3498003259,Envee Drugs Pvt Ltd,"N.H. No.8, B/H. K. Manibhai Godown,Dumral, Tal. Nadiad",Dist. Kheda (Gujarat),Ningxia Taiyicin Biotech Co Ltd,"Pacific Road No. 1, Nuanquan Econom Ic Zone, Helan County, Yinchuan, Ni Ngxia, China ., , China China",29,Shanghai,CHINA,data\raw\azithromycin_202603.xlsx,202506,USP,"The item description indicates it is not for medicinal use, suggesting it may not be a relevant pharmaceutical grade substance.","The item description indicates it is not for medicinal use, suggesting it may not be a relevant pharmaceutical grade substance.",False,False,,
Jnpt,Innsa1,2323334,2025-05-28,29419090,Azithromycin Amine. (Not For Medicine Use). Azithromycin Amine. (Not For Medicine Use).,2000.0,KG,10968.76,128.14,Usd,21937516.0,,6084370.0,3498003259,Envee Drugs Pvt Ltd,N.H. No.8 B/H. K. Manibhai Godown Dumral Tal. Nadiad,Dist. Kheda (Gujarat),Ningxia Taiyicin Biotech Co Ltd,"Pacific Road No. 1, Nuanquan Econom Ic Zone, Helan County, Yinchuan, Ni Ngxia, China ., , China China",29,Shanghai,CHINA,data\raw\azithromycin_202603.xlsx,202505,USP,"The item description indicates it is not for medicinal use, suggesting it may not be a relevant pharmaceutical grade substance.","The item description indicates it is not for medicinal use, suggesting it may not be a relevant pharmaceutical grade substance.",False,False,,
Bangalore,Inblr4,3233778,2025-07-12,29349990,Phr2781-50Mg Azithromycin Related Compound F (Laboratory Chemicals)Phr2781-50Mg Azithromycin Related Compound F (Laboratory Che,1.0,NOS,39962.06,39962.06,Inr,39962.06,,11083.5,0703003453,Sigma Aldrich Chemicals Pvt Ltd,"Plot.No.12,Bommasandra-Jigani Link,Road,Indl.Area,Anekal Tq,",Bangalore,Sigma Aldrich International Gmbh,"Sigma Aldrich International Gmbhindustriestrasse-25-Ch 9470 Switzer Land Buchs, , Switzerland Sdnf Switzerland",29,"Chicago, Il",CHINA,data\raw\azithromycin_202603.xlsx,202507,USP,"It is a related compound, not the active pharmaceutical ingredient azithromycin itself.","It is a related compound, not the active pharmaceutical ingredient azithromycin itself.",False,False,,
Bangalore,Inblr4,3233778,2025-07-12,29349990,Phr3759-50Mg N-Demethylazithromycin (Laboratory Chemicals) Phr3759-50Mg N-Demethylazithromycin (Laboratory Chemicals),1.0,NOS,35209.81,35209.81,Inr,35209.81,,9765.4,0703003453,Sigma Aldrich Chemicals Pvt Ltd,"Plot.No.12,Bommasandra-Jigani Link,Road,Indl.Area,Anekal Tq,",Bangalore,Sigma Aldrich International Gmbh,"Sigma Aldrich International Gmbhindustriestrasse-25-Ch 9470 Switzer Land Buchs, , Switzerland Sdnf Switzerland",29,"Chicago, Il",UNITED STATES,data\raw\azithromycin_202603.xlsx,202507,USP,"The item description refers to N-Demethylazithromycin, which is a related compound and not azithromycin itself.","The item description refers to N-Demethylazithromycin, which is a related compound and not azithromycin itself.",False,False,,
