Indian Port,Cush,BE_NO,BE_DATE,CTH,ITEM,QTY,UQC,UNIT_VALUE_INR,InvoiceUnitPriceFC,Invoice_Currency,TOTAL_VALUE,UPI,Total_Duty_Paid,IEC,IMPORTER,ADDRESS,CITY,Supp_Name,Supp_Address,CHA_NAME,Port_Of_Shipment,COUNTRY,source_file,yyyymm,GRADE_SPEC,outlier_reason_item,outlier_reason_text,outlier_reason_qty,outlier_reason_price,outlier_reason_usp,unit_price
Jnpt,Innsa1,2243195,2025-05-23,29413090,Azithromycin Amine Having Purity Nmt 94 Persentage Azithromycin Amine Having Purity Nmt 94 Persentage,1565.0,KG,10743.46,124.3,Usd,16813516.0,,0.0,0388036591,Mehta Pharmaceutical Industries,314 Janki Centre Plot No.29 Shah Indl Est Off Veera Desai Rd,Andheri(W) Maharashtra,Heilongjiang Lianshun Biotech Co Ltd,"Jianghe Integration Green Intellige Nce Industrial Zone Xinli Village, Zhongxinhe Town, Qiezihe District, China",29,Shanghai,CHINA,data\raw\azithromycin_202603.xlsx,202505,USP,"The item description indicates a purity level of less than 94%, suggesting it may not be a pure form of azithromycin.","The item description indicates a purity level of less than 94%, suggesting it may not be a pure form of azithromycin.",False,False,,
Jnpt,Innsa1,3295831,2025-07-16,29419090,Azithromycin Amine Having Purity Nmt 94% Azithromycin Amine Having Purity Nmt 94%,12000.0,KG,10722.83,124.3,Usd,128673912.0,,35687708.0,0388036591,Mehta Pharmaceutical Industries,"314,Janki Centre,Plot No.29,,Shah Indl Est,Off Veera Desai Rd",Andheri(W) Maharashtra,Heilongjiang Lianshun Biotech Co Ltd,"Heilongjiang Lianshun Biotech Co.Ltd.Jianghe Integration Green Intellige Nce Industrial Zone Xinli Village, Zhongxinhe Town, Qiezihe District, China",29,Shanghai,CHINA,data\raw\azithromycin_202603.xlsx,202507,USP,The item description indicates a purity specification (Nmt 94%) which suggests it may not be a pure active pharmaceutical ingredient.,The item description indicates a purity specification (Nmt 94%) which suggests it may not be a pure active pharmaceutical ingredient.,False,False,,
Jnpt,Innsa1,2327231,2025-05-28,29419090,Azithromycin Amine Azithromycin Amine,5000.0,KG,10674.39,124.7,Usd,53371936.0,,14802707.0,0389021601,Anuh Pharma Ltd,3-A Shiv Sagar Estate North Wing Dr. Annie Besant Road Worli,"Bombay ,Maharashtra",Hong Kong Osiris International Co Ltd,"Room 1003, 10/F Tower 1, Lippo Cent Re 89 Queensway Admiralty H.K. Hong Kong, , China China",29,Shanghai,CHINA,data\raw\azithromycin_202603.xlsx,202505,USP,,USP grade unvalidated: 'Hong Kong Osiris International Co Ltd / Anuh Pharma Ltd' not found in active FDA DMF holder list for azithromycin,False,False,USP grade unvalidated: 'Hong Kong Osiris International Co Ltd / Anuh Pharma Ltd' not found in active FDA DMF holder list for azithromycin,
Jnpt,Innsa1,2199059,2025-05-21,29415000,Azithromycin Dihydrate Ip/Usp Azithromycin Dihydrate Ip/Usp,1500.0,KG,12096.0,140.0,Usd,18144000.0,,0.0,0310049415,Innova Captab Ltd,172-177 Tirupati Bhavan Rsc-1A Gorai-1 Borivali[W],Mumbai Maharashtra,Mdnf,Nf,29,Xingang (China),CHINA,data\raw\azithromycin_202603.xlsx,202505,USP,,USP grade unvalidated: 'Mdnf / Innova Captab Ltd' not found in active FDA DMF holder list for azithromycin,False,False,USP grade unvalidated: 'Mdnf / Innova Captab Ltd' not found in active FDA DMF holder list for azithromycin,
Bangalore,Inblr4,2350877,2025-05-29,29419090,Phr1088-1G Azithromycin (Laboratory Chemicals) Phr1088-1G Azithromycin (Laboratory Chemicals),4.0,NOS,7303.11,85.32,Usd,29212.46,,8102.1,0703003453,Sigma Aldrich Chemicals Pvt Ltd,Plot.No.12 Bommasandra-Jigani Link Road Indl.Area Anekal Tq,Bangalore,Sigma Aldrich International Gmbh,"Industriestrasse-25-Ch 9470 Buchs Buchs,Switzerland Buchs,Switzerland Sdnf Switzerland",29,"Chicago, Il",CHINA,data\raw\azithromycin_202603.xlsx,202505,USP,,USP grade unvalidated: 'Sigma Aldrich International Gmbh / Sigma Aldrich Chemicals Pvt Ltd' not found in active FDA DMF holder list for azithromycin,False,False,USP grade unvalidated: 'Sigma Aldrich International Gmbh / Sigma Aldrich Chemicals Pvt Ltd' not found in active FDA DMF holder list for azithromycin,
Jnpt,Innsa1,0,2025-12-17,29415000,Azithromycin Amine (Having Purity Nmt 94%) Azithromycin Amine (Having Purity Nmt 94%),4800.0,KG,11232.41,124.68,Usd,53915588.0,,14953488.0,0303015195,Pragati Raw Pharma Pvt Ltd,"401, Sai Chambers, Near Santacruz Bus Depot, Santacruz (East)","Mumbai, Maharashtra.",Heilongjiang Lianshun Biotech Co Ltd,"Heilongjiang Lianshun Biotech Co., Ltd.Jianghe Integration Green Intellige Nce Industrial Zone Xinli Village,Z Hongxinhe Town, Qiezihe District, Q Chinachina",29,Shanghai,CHINA,data\raw\azithromycin_202603.xlsx,202512,USP,,USP grade unvalidated: 'Heilongjiang Lianshun Biotech Co Ltd / Pragati Raw Pharma Pvt Ltd' not found in active FDA DMF holder list for azithromycin,False,False,USP grade unvalidated: 'Heilongjiang Lianshun Biotech Co Ltd / Pragati Raw Pharma Pvt Ltd' not found in active FDA DMF holder list for azithromycin,
Madras Sea,Inmaa1,9411631,2025-04-10,29419090,Azithromycin Usp (Dihydrate) Azithromycin Usp (Dihydrate),250.0,KG,12167.3,140.5,Usd,3041825.0,,0.0,0791011739,Bal Pharma Ltd,5Th Floor Laxmi Narayan Complex 10/1 Palace Road,Bangalore,Hangzhou Dawn Ray Pharmaceutical Co Ltd,1613 Guangyin Building No.42 E.Fen Gqi Road Hangzhou Sdnf Cn,29,Shanghai,CHINA,data\raw\azithromycin_202603.xlsx,202504,USP,,USP grade unvalidated: 'Hangzhou Dawn Ray Pharmaceutical Co Ltd / Bal Pharma Ltd' not found in active FDA DMF holder list for azithromycin,False,False,USP grade unvalidated: 'Hangzhou Dawn Ray Pharmaceutical Co Ltd / Bal Pharma Ltd' not found in active FDA DMF holder list for azithromycin,
Jnpt,Innsa1,0,2025-11-03,29415000,Azithromycin Amine (Having Purity Nmt 94%) Azithromycin Amine (Having Purity Nmt 94%),470.0,KG,10912.76,123.0,Usd,5128997.0,,0.0,0388114533,Mehta Api Pvt Ltd,"315-318,Janki Centre,Pl No.29,Shah ,Indl Est.,Off Veera D. Rd,Andheri-W","Mumbai, Maharashtra",Heilongjiang Lianshun Biotech Co Ltd,"Jianghe Integration Green Intellige Nce Industrial Zone Xinli Village,Z Hongxinhe Town, Qiezihe District, Q China",29,Shanghai,CHINA,data\raw\azithromycin_202603.xlsx,202511,USP,,USP grade unvalidated: 'Heilongjiang Lianshun Biotech Co Ltd / Mehta Api Pvt Ltd' not found in active FDA DMF holder list for azithromycin,False,False,USP grade unvalidated: 'Heilongjiang Lianshun Biotech Co Ltd / Mehta Api Pvt Ltd' not found in active FDA DMF holder list for azithromycin,
Jnpt,Innsa1,0,2025-11-03,29415000,Azithromycin Amine (Having Purity Nmt 94%) Azithromycin Amine (Having Purity Nmt 94%),530.0,KG,10912.76,123.0,Usd,5783763.0,,1126966.25,0388114533,Mehta Api Pvt Ltd,"315-318,Janki Centre,Pl No.29,Shah ,Indl Est.,Off Veera D. Rd,Andheri-W","Mumbai, Maharashtra",Heilongjiang Lianshun Biotech Co Ltd,"Jianghe Integration Green Intellige Nce Industrial Zone Xinli Village,Z Hongxinhe Town, Qiezihe District, Q China",29,Shanghai,CHINA,data\raw\azithromycin_202603.xlsx,202511,USP,,USP grade unvalidated: 'Heilongjiang Lianshun Biotech Co Ltd / Mehta Api Pvt Ltd' not found in active FDA DMF holder list for azithromycin,False,False,USP grade unvalidated: 'Heilongjiang Lianshun Biotech Co Ltd / Mehta Api Pvt Ltd' not found in active FDA DMF holder list for azithromycin,
Jnpt,Innsa1,0,2025-11-11,29415000,Azithromycin Amine (Having Purity Nmt 94%) Azithromycin Amine (Having Purity Nmt 94%),542.0,KG,11011.18,123.0,Usd,5968061.5,,1162876.75,0388114533,Mehta Api Pvt Ltd,"315-318,Janki Centre,Pl No.29,Shah ,Indl Est.,Off Veera D. Rd,Andheri-W","Mumbai, Maharashtra",Heilongjiang Lianshun Biotech Co Ltd,"Jianghe Integration Green Intellige Nce Industrial Zone Xinli Village,Z Hongxinhe Town, Qiezihe District, Q China",29,Shanghai,CHINA,data\raw\azithromycin_202603.xlsx,202511,USP,,USP grade unvalidated: 'Heilongjiang Lianshun Biotech Co Ltd / Mehta Api Pvt Ltd' not found in active FDA DMF holder list for azithromycin,False,False,USP grade unvalidated: 'Heilongjiang Lianshun Biotech Co Ltd / Mehta Api Pvt Ltd' not found in active FDA DMF holder list for azithromycin,
Jnpt,Innsa1,9378033,2025-04-09,29415000,Azithromycin Amine (Having Purity Nmt 94%) Azithromycin Amine (Having Purity Nmt 94%),5000.0,KG,10699.62,123.5,Usd,53498080.0,,10825337.0,0388114533,Mehta Api Pvt Ltd,315 318 Janki Centre Pl No 29 Shah Indl Est Off Veera D Rd Andheri W,"Mumbai, Maharashtra",Heilongjiang Lianshun Biotech Co,Jianghe Integration Green Intellige Industrial Zone Xinli Village Zhongxinhe Town Qiezihe District China,29,Shanghai,CHINA,data\raw\azithromycin_202603.xlsx,202504,USP,,USP grade unvalidated: 'Heilongjiang Lianshun Biotech Co / Mehta Api Pvt Ltd' not found in active FDA DMF holder list for azithromycin,False,False,USP grade unvalidated: 'Heilongjiang Lianshun Biotech Co / Mehta Api Pvt Ltd' not found in active FDA DMF holder list for azithromycin,
Madras Sea,,2754,2025-11-11,29419090,Azithromycin Bp/Usp (Azithromycin) Azithromycin Usp,1000.0,KG,11975.1,133.8,Usd,11975100.0,,0.0,0488001081,Medopharm,"25, 2Nd Puliyur Main Road, ,Trustpuram, Kodambakkam,","Chennai, Tamilnadu",Ningxia Taiyicin Biotech Co Ltd,"Pacific Road No.1,Nuanquan Economic Zone,Helan County, Yinchuan Ningxia China",29,Shanghai,CHINA,data\raw\azithromycin_202603.xlsx,202511,USP,,USP grade unvalidated: 'Ningxia Taiyicin Biotech Co Ltd / Medopharm' not found in active FDA DMF holder list for azithromycin,False,False,USP grade unvalidated: 'Ningxia Taiyicin Biotech Co Ltd / Medopharm' not found in active FDA DMF holder list for azithromycin,
Bangalore,Inblr4,2251724,2025-05-24,29419090,75199-25Mg-F Azithromycin (Laboratory Chemicals) 75199-25Mg-F Azithromycin (Laboratory Chemicals),2.0,NOS,15430.05,15430.05,Inr,30860.09,,8559.1,0703003453,Sigma Aldrich Chemicals Pvt Ltd,Plot.No.12 Bommasandra-Jigani Link Road Indl.Area Anekal Tq,Bangalore,Sigma Aldrich International Gmbh,"Industriestrasse-25-Ch 9471 Buchs Buchs,Switzerland Buchs,Switzerland Sdnf Switzerland",29,N|Rnberg (Nuremberg),CHINA,data\raw\azithromycin_202603.xlsx,202505,USP,,USP grade unvalidated: 'Sigma Aldrich International Gmbh / Sigma Aldrich Chemicals Pvt Ltd' not found in active FDA DMF holder list for azithromycin,False,False,USP grade unvalidated: 'Sigma Aldrich International Gmbh / Sigma Aldrich Chemicals Pvt Ltd' not found in active FDA DMF holder list for azithromycin,
Bangalore,Inblr4,2315220,2025-05-27,29419090,Phr1088-1G Azithromycin (Laboratory Chemicals) Phr1088-1G Azithromycin (Laboratory Chemicals),36.0,NOS,7314.36,7314.36,Inr,263317.0,,73031.0,0703003453,Sigma Aldrich Chemicals Pvt Ltd,Plot.No.12 Bommasandra-Jigani Link Road Indl.Area Anekal Tq,Bangalore,Sigma Aldrich International Gmbh,"Industriestrasse-25-Ch 9470 Buchs Buchs,Switzerland Buchs,Switzerland Sdnf Switzerland",29,"Chicago, Il",CHINA,data\raw\azithromycin_202603.xlsx,202505,USP,,USP grade unvalidated: 'Sigma Aldrich International Gmbh / Sigma Aldrich Chemicals Pvt Ltd' not found in active FDA DMF holder list for azithromycin,False,False,USP grade unvalidated: 'Sigma Aldrich International Gmbh / Sigma Aldrich Chemicals Pvt Ltd' not found in active FDA DMF holder list for azithromycin,
Jnpt,Innsa1,2195433,2025-05-21,29415000,Azithromycin Ip/Usp/Ep Azithromycin Ip/Usp/Ep,20.86,KG,12096.0,140.0,Usd,252310.45,,51055.0,0310049415,Innova Captab Ltd,172-177 Tirupati Bhavan Rsc-1A Gorai-1 Borivali[W],Mumbai Maharashtra,Mdnf,Nf,29,Xingang (China),CHINA,data\raw\azithromycin_202603.xlsx,202505,USP,,USP grade unvalidated: 'Mdnf / Innova Captab Ltd' not found in active FDA DMF holder list for azithromycin,False,False,USP grade unvalidated: 'Mdnf / Innova Captab Ltd' not found in active FDA DMF holder list for azithromycin,
Jnpt,Innsa1,383,2025-11-05,29419090,Azithromycin Amine Azithromycin Amine,1500.0,KG,11087.5,125.0,Usd,16631250.0,,0.0,0389021601,Anuh Pharma Ltd,"3-A, Shiv Sagar Estate, North Wing,,Dr. Annie Besant Road, Worli,","Bombay ,Maharashtra",Hong Kong Xinsheng Medical Technology Co Ltd,"Co., Limited. Room 804,8Th Flr.,Fa R East Consortium Building 121 Des Vocux Road Central, Hong Kong Hong Kong",29,Shanghai,CHINA,data\raw\azithromycin_202603.xlsx,202511,USP,,USP grade unvalidated: 'Hong Kong Xinsheng Medical Technology Co Ltd / Anuh Pharma Ltd' not found in active FDA DMF holder list for azithromycin,False,False,USP grade unvalidated: 'Hong Kong Xinsheng Medical Technology Co Ltd / Anuh Pharma Ltd' not found in active FDA DMF holder list for azithromycin,
Jnpt,Innsa1,383,2025-11-05,29419090,Azithromycin Amine Azithromycin Amine,1850.0,KG,11087.5,125.0,Usd,20511876.0,,5688968.5,0389021601,Anuh Pharma Ltd,"3-A, Shiv Sagar Estate, North Wing,,Dr. Annie Besant Road, Worli,","Bombay ,Maharashtra",Hong Kong Xinsheng Medical Technology Co Ltd,"Co., Limited. Room 804,8Th Flr.,Fa R East Consortium Building 121 Des Vocux Road Central, Hong Kong Hong Kong",29,Shanghai,CHINA,data\raw\azithromycin_202603.xlsx,202511,USP,,USP grade unvalidated: 'Hong Kong Xinsheng Medical Technology Co Ltd / Anuh Pharma Ltd' not found in active FDA DMF holder list for azithromycin,False,False,USP grade unvalidated: 'Hong Kong Xinsheng Medical Technology Co Ltd / Anuh Pharma Ltd' not found in active FDA DMF holder list for azithromycin,
Jnpt,Innsa1,9746609,2025-04-28,29419090,Azithromycin Amine. Azithromycin Amine.,1000.0,KG,10022.4,116.0,Usd,10022400.0,,2028032.62,3498003259,Envee Drugs Pvt Ltd,N H No 8 B/H K Manibhai Godown Dumral Tal Nadiad,Dist. Kheda (Gujarat),Zhejiang Ueasy Business Service Co Ltd,No.22 Great Wall Street Xiacheng Distr Ict Hangzhou China Chin A China,29,Shanghai,CHINA,data\raw\azithromycin_202603.xlsx,202504,USP,,USP grade unvalidated: 'Zhejiang Ueasy Business Service Co Ltd / Envee Drugs Pvt Ltd' not found in active FDA DMF holder list for azithromycin,False,False,USP grade unvalidated: 'Zhejiang Ueasy Business Service Co Ltd / Envee Drugs Pvt Ltd' not found in active FDA DMF holder list for azithromycin,
Bangalore,Inblr4,0,2026-01-03,29419090,75199-25Mg-F Azithromycin (Laboratory Chemicals) 75199-25Mg-F Azithromycin (Laboratory Chemicals),2.0,NOS,15797.0,15797.0,Inr,31595.86,,8763.2,0703003453,Sigma Aldrich Chemicals Pvt Ltd,"Plot.No.12,Bommasandra-Jigani Link Road,Indl.Area,Anekal Tq,",Bangalore,Sigma Aldrich International Gmbh,"Sigma Aldrich International Gmbhindustriestrasse-25-Ch 9470 Switzer Land Buchs, Switzerland Sdnf Switzerlandswitzerland",29,"Chicago, Il",CHINA,data\raw\azithromycin_202603.xlsx,202601,USP,,USP grade unvalidated: 'Sigma Aldrich International Gmbh / Sigma Aldrich Chemicals Pvt Ltd' not found in active FDA DMF holder list for azithromycin,False,False,USP grade unvalidated: 'Sigma Aldrich International Gmbh / Sigma Aldrich Chemicals Pvt Ltd' not found in active FDA DMF holder list for azithromycin,
Jnpt,Innsa1,0,2025-11-03,29415000,Azithromycin Amine (Having Purity Nmt 94%) Azithromycin Amine (Having Purity Nmt 94%),3475.0,KG,10912.76,123.0,Usd,37921840.0,,10517623.0,0388114533,Mehta Api Pvt Ltd,"315-318,Janki Centre,Pl No.29,Shah ,Indl Est.,Off Veera D. Rd,Andheri-W","Mumbai, Maharashtra",Heilongjiang Lianshun Biotech Co Ltd,"Jianghe Integration Green Intellige Nce Industrial Zone Xinli Village,Z Hongxinhe Town, Qiezihe District, Q China",29,Shanghai,CHINA,data\raw\azithromycin_202603.xlsx,202511,USP,,USP grade unvalidated: 'Heilongjiang Lianshun Biotech Co Ltd / Mehta Api Pvt Ltd' not found in active FDA DMF holder list for azithromycin,False,False,USP grade unvalidated: 'Heilongjiang Lianshun Biotech Co Ltd / Mehta Api Pvt Ltd' not found in active FDA DMF holder list for azithromycin,
Jnpt,Innsa1,0,2025-11-28,29415000,Azithromycin Amine (Having Purity Nmt 94%) Azithromycin Amine (Having Purity Nmt 94%),4775.0,KG,11011.18,123.0,Usd,52578404.0,,14582620.0,0388114533,Mehta Api Pvt Ltd,"315-318,Janki Centre,Pl No.29,Shah ,Indl Est.,Off Veera D. Rd,Andheri-W","Mumbai, Maharashtra",Heilongjiang Lianshun Biotech Co Ltd,"Jianghe Integration Green Intellige Nce Industrial Zone Xinli Village,Z Hongxinhe Town, Qiezihe District, Q China",29,Shanghai,CHINA,data\raw\azithromycin_202603.xlsx,202511,USP,,USP grade unvalidated: 'Heilongjiang Lianshun Biotech Co Ltd / Mehta Api Pvt Ltd' not found in active FDA DMF holder list for azithromycin,False,False,USP grade unvalidated: 'Heilongjiang Lianshun Biotech Co Ltd / Mehta Api Pvt Ltd' not found in active FDA DMF holder list for azithromycin,
Jnpt,Innsa1,8,2025-11-18,29415000,Azithromycin Amine (Having Purity Nmt 94%) Azithromycin Amine (Having Purity Nmt 94%),5275.0,KG,11010.98,123.0,Usd,58082896.0,,16109291.0,0303015195,Pragati Raw Pharma Pvt Ltd,"401, Sai Chambers, Near Santacruz ,Bus Depot, Santacruz (East)","Mumbai, Maharashtra.",Heilongjiang Lianshun Biotech Co Ltd,"Jianghe Integration Green Intellige Nce Industrial Zone Xinli Village,Z Hongxinhe Town, Qiezihe District, Q China",29,Shanghai,CHINA,data\raw\azithromycin_202603.xlsx,202511,USP,,USP grade unvalidated: 'Heilongjiang Lianshun Biotech Co Ltd / Pragati Raw Pharma Pvt Ltd' not found in active FDA DMF holder list for azithromycin,False,False,USP grade unvalidated: 'Heilongjiang Lianshun Biotech Co Ltd / Pragati Raw Pharma Pvt Ltd' not found in active FDA DMF holder list for azithromycin,
Jnpt,Innsa1,0,2025-11-18,29415000,Azithromycin Amine (Having Purity Nmt 94%) Azithromycin Amine (Having Purity Nmt 94%),5300.0,KG,11010.98,123.0,Usd,58358172.0,,16185639.0,0303015195,Pragati Raw Pharma Pvt Ltd,"401, Sai Chambers, Near Santacruz ,Bus Depot, Santacruz (East)","Mumbai, Maharashtra.",Heilongjiang Lianshun Biotech Co Ltd,"Jianghe Integration Green Intellige Nce Industrial Zone Xinli Village,Z Hongxinhe Town, Qiezihe District, Q China",29,Shanghai,CHINA,data\raw\azithromycin_202603.xlsx,202511,USP,,USP grade unvalidated: 'Heilongjiang Lianshun Biotech Co Ltd / Pragati Raw Pharma Pvt Ltd' not found in active FDA DMF holder list for azithromycin,False,False,USP grade unvalidated: 'Heilongjiang Lianshun Biotech Co Ltd / Pragati Raw Pharma Pvt Ltd' not found in active FDA DMF holder list for azithromycin,
Jnpt,Innsa1,9,2025-11-28,29415000,Azithromycin Amine (Having Purity Nmt 94%) Azithromycin Amine (Having Purity Nmt 94%),5350.0,KG,11011.18,123.0,Usd,58909832.0,,16338643.0,0388114533,Mehta Api Pvt Ltd,"315-318,Janki Centre,Pl No.29,Shah ,Indl Est.,Off Veera D. Rd,Andheri-W","Mumbai, Maharashtra",Heilongjiang Lianshun Biotech Co Ltd,"Jianghe Integration Green Intellige Nce Industrial Zone Xinli Village,Z Hongxinhe Town, Qiezihe District, Q China",29,Shanghai,CHINA,data\raw\azithromycin_202603.xlsx,202511,USP,,USP grade unvalidated: 'Heilongjiang Lianshun Biotech Co Ltd / Mehta Api Pvt Ltd' not found in active FDA DMF holder list for azithromycin,False,False,USP grade unvalidated: 'Heilongjiang Lianshun Biotech Co Ltd / Mehta Api Pvt Ltd' not found in active FDA DMF holder list for azithromycin,
Jnpt,Innsa1,0,2025-11-11,29415000,Azithromycin Amine (Having Purity Nmt 94%) Azithromycin Amine (Having Purity Nmt 94%),6458.0,KG,11011.18,123.0,Usd,71110224.0,,19722422.0,0388114533,Mehta Api Pvt Ltd,"315-318,Janki Centre,Pl No.29,Shah ,Indl Est.,Off Veera D. Rd,Andheri-W","Mumbai, Maharashtra",Heilongjiang Lianshun Biotech Co Ltd,"Jianghe Integration Green Intellige Nce Industrial Zone Xinli Village,Z Hongxinhe Town, Qiezihe District, Q China",29,Shanghai,CHINA,data\raw\azithromycin_202603.xlsx,202511,USP,,USP grade unvalidated: 'Heilongjiang Lianshun Biotech Co Ltd / Mehta Api Pvt Ltd' not found in active FDA DMF holder list for azithromycin,False,False,USP grade unvalidated: 'Heilongjiang Lianshun Biotech Co Ltd / Mehta Api Pvt Ltd' not found in active FDA DMF holder list for azithromycin,
Jnpt,Innsa1,941,2025-11-03,29415000,Azithromycin Amine (Having Purity Nmt 94%) Azithromycin Amine (Having Purity Nmt 94%),6925.0,KG,10912.76,123.0,Usd,75570864.0,,20959580.0,0388114533,Mehta Api Pvt Ltd,"315-318,Janki Centre,Pl No.29,Shah ,Indl Est.,Off Veera D. Rd,Andheri-W","Mumbai, Maharashtra",Heilongjiang Lianshun Biotech Co Ltd,"Jianghe Integration Green Intellige Nce Industrial Zone Xinli Village,Z Hongxinhe Town, Qiezihe District, Q China",29,Shanghai,CHINA,data\raw\azithromycin_202603.xlsx,202511,USP,,USP grade unvalidated: 'Heilongjiang Lianshun Biotech Co Ltd / Mehta Api Pvt Ltd' not found in active FDA DMF holder list for azithromycin,False,False,USP grade unvalidated: 'Heilongjiang Lianshun Biotech Co Ltd / Mehta Api Pvt Ltd' not found in active FDA DMF holder list for azithromycin,
Jnpt,Innsa1,4411914,2025-09-10,29419090,Azithromycin Amine. Azithromycin Amine.,2500.0,KG,10897.8,123.0,Null,27244500.0,,7556262.0,3498003259,Envee Drugs Pvt Ltd,"N.H. No.8, B/H. K. Manibhai Godown Dumral, Tal. Nadiad",,Brilliant Pharmaceutical Ltd,"Office F, 32/F, Plaza 88 No.88 Yeun G Uk Road, Tsuen Wan Nt, Hong Kong China",29,Shanghai,CHINA,data\raw\azithromycin_202603.xlsx,202509,USP,,USP grade unvalidated: 'Brilliant Pharmaceutical Ltd / Envee Drugs Pvt Ltd' not found in active FDA DMF holder list for azithromycin,False,False,USP grade unvalidated: 'Brilliant Pharmaceutical Ltd / Envee Drugs Pvt Ltd' not found in active FDA DMF holder list for azithromycin,
Jnpt,Innsa1,4522833,2025-09-15,29419090,Azithromycin Amine. Azithromycin Amine.,2500.0,KG,10897.8,123.0,Null,27244500.0,,7556262.0,3498003259,Envee Drugs Pvt Ltd,"N.H. No.8, B/H. K. Manibhai Godown Dumral, Tal. Nadiad",,Brilliant Pharmaceutical Ltd,"Office F, 32/F, Plaza 88 No.88 Yeun G Uk Road, Tsuen Wan Nt, Hong Kong China",29,Shanghai,CHINA,data\raw\azithromycin_202603.xlsx,202509,USP,,USP grade unvalidated: 'Brilliant Pharmaceutical Ltd / Envee Drugs Pvt Ltd' not found in active FDA DMF holder list for azithromycin,False,False,USP grade unvalidated: 'Brilliant Pharmaceutical Ltd / Envee Drugs Pvt Ltd' not found in active FDA DMF holder list for azithromycin,
Jnpt,Innsa1,4247971,2025-09-02,29419090,Azithromycin Amine. Azithromycin Amine,1850.0,KG,10713.6,124.0,Null,19820160.0,,5497121.5,3498003259,Envee Drugs Pvt Ltd,"N.H. No.8, B/H. K. Manibhai Godown Dumral, Tal. Nadiad",,Brilliant Pharmaceutical Ltd,"Office F, 32/F, Plaza 88 No.88 Yeun G Uk Road, Tsuen Wan Nt, Hong Kong China",29,Shanghai,CHINA,data\raw\azithromycin_202603.xlsx,202509,USP,,USP grade unvalidated: 'Brilliant Pharmaceutical Ltd / Envee Drugs Pvt Ltd' not found in active FDA DMF holder list for azithromycin,False,False,USP grade unvalidated: 'Brilliant Pharmaceutical Ltd / Envee Drugs Pvt Ltd' not found in active FDA DMF holder list for azithromycin,
Jnpt,Innsa1,4521535,2025-09-15,29415000,Azithromycin Amine (Having Purity Nmt 94%) Azithromycin Amine (Having Purity Nmt 94%),3950.0,KG,10674.43,123.5,Null,42163988.0,,11694182.0,0388114533,Mehta Api Pvt Ltd,"315-318,Janki Centre,Pl No.29,Shah Indl Est,Off Veera D. Rd,Andheri-W",,Heilongjiang Lianshun Biotech Co Ltd,"Jianghe Integration Green Intellige Nce Industrial Zone Xinli Village,Z Hongxinhe Town, Qiezihe District, Q China",29,Shanghai,CHINA,data\raw\azithromycin_202603.xlsx,202509,USP,,USP grade unvalidated: 'Heilongjiang Lianshun Biotech Co Ltd / Mehta Api Pvt Ltd' not found in active FDA DMF holder list for azithromycin,False,False,USP grade unvalidated: 'Heilongjiang Lianshun Biotech Co Ltd / Mehta Api Pvt Ltd' not found in active FDA DMF holder list for azithromycin,
Bombay Air Cargo,Inbom4,9175,2025-10-28,29415000,Azithromycin Amine (Having Purity Nmt 94%) Azithromycin Amine (Having Purity Nmt 94%),3000.0,KG,11150.16,123.0,Usd,369000.0,,9277491.0,0388114533,Mehta Api Pvt Ltd,"315-318,Janki Centre,Pl No.29,Shah Indl Est.,Off Veera D. Rd,Andheri-W","Mumbai, Maharashtra",Heilongjiang Lianshun Biotech Co Ltd,"Heilongjiang Lianshun Biotech Co., Ltd.Jianghe Integration Green Intellige Nce Industrial Zone Xinli Village,Z Hongxinhe Town, Qiezihe District, Q Chinachina",29,Chongqing,CHINA,data\raw\azithromycin_202603.xlsx,202510,USP,,USP grade unvalidated: 'Heilongjiang Lianshun Biotech Co Ltd / Mehta Api Pvt Ltd' not found in active FDA DMF holder list for azithromycin,False,False,USP grade unvalidated: 'Heilongjiang Lianshun Biotech Co Ltd / Mehta Api Pvt Ltd' not found in active FDA DMF holder list for azithromycin,
Bombay Air Cargo,Inbom4,0,2026-02-03,29415000,Azithromycin Amine (Having Purity Nmt 94%) Azithromycin Amine (Having Purity Nmt 94%),3450.0,KG,11273.76,11273.76,Inr,38894484.0,,10787385.0,0388114533,Mehta Api Pvt Ltd,"315-318,Janki Centre,Pl No.29,Shah Indl Est.,Off Veera D. Rd,Andheri-W","Mumbai, Maharashtra",Ningxia Taiyicin Biotech Co Ltd,"Ningxia Taiyicin Biotech Co. Ltd.Pacific Road No.1Nuanquan Economic Zone Helan, County Yinchuan, Ningxi A, China. , , China Chinachina",29,Chongqing,CHINA,data\raw\azithromycin_202603.xlsx,202602,USP,,USP grade unvalidated: 'Ningxia Taiyicin Biotech Co Ltd / Mehta Api Pvt Ltd' not found in active FDA DMF holder list for azithromycin,False,False,USP grade unvalidated: 'Ningxia Taiyicin Biotech Co Ltd / Mehta Api Pvt Ltd' not found in active FDA DMF holder list for azithromycin,
