buyer,COUNTRY,yyyymm,uom,GRADE_SPEC,Sum_of_QTY,Sum_of_TOTAL_VALUE,Avg_PRICE,source,entity_name
General Import Co India Pvt Ltd,CHINA,202505,KG,USP,1000.0,11729422.0,11729.422,Buyer,General Import Co India Pvt Ltd
Gorang International,CHINA,202504,KG,IP,2000.0,23867866.0,11933.933,Buyer,Gorang International
Gorang International,CHINA,202504,KG,USP,2000.0,24192000.0,12096.0,Buyer,Gorang International
Gorang International,CHINA,202506,KG,IP,6000.0,71619408.0,11936.568,Buyer,Gorang International
Gorang International,CHINA,202507,KG,IP,2000.0,23640070.0,11820.035,Buyer,Gorang International
Gorang International,CHINA,202507,KG,USP,6000.0,72440628.0,12073.438,Buyer,Gorang International
Gorang International,CHINA,202509,KG,USP,3875.0,48548076.0,12528.535741935484,Buyer,Gorang International
Hof Pharmaceuticals Ltd,CHINA,202507,KG,USP,260.0,3148236.0,12108.6,Buyer,Hof Pharmaceuticals Ltd
Ind Swift Laboratories Ltd,CHINA,202512,KG,USP,600.0,8085480.0,13475.8,Buyer,Ind Swift Laboratories Ltd
Ind Swift Ltd,CHINA,202507,KG,USP,2700.0,34122816.0,12638.08,Buyer,Ind Swift Ltd
Indoco Remedies Ltd,CHINA,202511,KG,USP,500.0,6734875.0,13469.75,Buyer,Indoco Remedies Ltd
Innova Captab Ltd,CHINA,202508,KG,IP,3627.38,43628552.0,12027.565901559803,Buyer,Innova Captab Ltd
Innova Captab Ltd,CHINA,202509,KG,IP,2000.0,24386000.0,12193.0,Buyer,Innova Captab Ltd
Inspira Bio Pharm Pvt Ltd,CHINA,202509,KG,USP,4000.0,49775542.0,12443.8855,Buyer,Inspira Bio Pharm Pvt Ltd
J B Chemicals And Pharmaceuticals Ltd,CHINA,202509,KG,EP,1000.0,11494300.0,11494.3,Buyer,J B Chemicals And Pharmaceuticals Ltd
Jubilant Generics Ltd,CHINA,202505,KG,USP,700.0,8769600.0,12528.0,Buyer,Jubilant Generics Ltd
Jubilant Generics Ltd,CHINA,202507,KG,USP,700.0,8810200.0,12586.0,Buyer,Jubilant Generics Ltd
Kopran Ltd,CHINA,202506,KG,USP,1000.0,12271000.0,12271.0,Buyer,Kopran Ltd
Kopran Ltd,CHINA,202512,KG,USP,1000.0,12957500.0,12957.5,Buyer,Kopran Ltd
Kopran Research Laboratories Ltd,CHINA,202504,KG,USP,2500.0,28404000.0,11361.6,Buyer,Kopran Research Laboratories Ltd
Kopran Research Laboratories Ltd,CHINA,202505,KG,USP,2500.0,27589876.0,11035.9504,Buyer,Kopran Research Laboratories Ltd
Kopran Research Laboratories Ltd,CHINA,202507,KG,USP,5000.0,56917030.0,11383.406,Buyer,Kopran Research Laboratories Ltd
Kopran Research Laboratories Ltd,CHINA,202508,KG,USP,4000.0,43774200.0,10943.55,Buyer,Kopran Research Laboratories Ltd
Kopran Research Laboratories Ltd,CHINA,202509,KG,USP,1000.0,11061825.0,11061.825,Buyer,Kopran Research Laboratories Ltd
Kopran Research Laboratories Ltd,CHINA,202511,KG,USP,7000.0,78312498.0,11187.499714285714,Buyer,Kopran Research Laboratories Ltd
Lupin Ltd,CHINA,202505,KG,USP,1900.0,25844656.0,13602.45052631579,Buyer,Lupin Ltd
Lupin Ltd,CHINA,202506,KG,USP,1000.0,13793250.0,13793.25,Buyer,Lupin Ltd
Lupin Ltd,CHINA,202507,KG,USP,960.41,13254852.25,13801.243479347362,Buyer,Lupin Ltd
Lupin Ltd,CHINA,202509,KG,USP,7891.4,111578392.0,14139.239171756597,Buyer,Lupin Ltd
Lupin Ltd,CHINA,202601,KG,USP,1181.1,17051776.5,14437.19964439929,Buyer,Lupin Ltd
Magbro Health Care Pvt Ltd,CHINA,202508,KG,USP,500.0,6202000.0,12404.0,Buyer,Magbro Health Care Pvt Ltd
Magbro Health Care Pvt Ltd,CHINA,202509,KG,USP,500.0,6230000.0,12460.0,Buyer,Magbro Health Care Pvt Ltd
Medico Remedies Ltd,CHINA,202506,KG,USP,1000.0,12288138.0,12288.138,Buyer,Medico Remedies Ltd
Medico Remedies Ltd,CHINA,202508,KG,USP,2000.0,24808000.0,12404.0,Buyer,Medico Remedies Ltd
Medico Remedies Ltd,CHINA,202601,KG,USP,2863.0,37427481.5,13072.819245546629,Buyer,Medico Remedies Ltd
Medico Remedies Ltd,CHINA,202602,KG,USP,2000.0,26243484.0,13121.742,Buyer,Medico Remedies Ltd
Medopharm,CHINA,202505,KG,USP,1000.0,11977000.0,11977.0,Buyer,Medopharm
Medopharm,CHINA,202507,KG,USP,1000.0,12152000.0,12152.0,Buyer,Medopharm
Medopharm,CHINA,202512,KG,USP,500.0,6478750.0,12957.5,Buyer,Medopharm
Medopharm Pvt Ltd,CHINA,202507,KG,USP,250.0,3298400.0,13193.6,Buyer,Medopharm Pvt Ltd
Mehta Api Pvt Ltd,CHINA,202508,KG,IP,2000.0,24464524.0,12232.262,Buyer,Mehta Api Pvt Ltd
Mehta Api Pvt Ltd,CHINA,202511,KG,IP,2000.0,25060000.0,12530.0,Buyer,Mehta Api Pvt Ltd
Mehta Medicare Pvt Ltd,CHINA,202504,KG,IP,1000.0,11846510.0,11846.51,Buyer,Mehta Medicare Pvt Ltd
Mehta Medicare Pvt Ltd,CHINA,202505,KG,IP,1000.0,11729332.0,11729.332,Buyer,Mehta Medicare Pvt Ltd
