supplier,yyyymm,uom,GRADE_SPEC,Sum_of_QTY,Sum_of_TOTAL_VALUE,Avg_PRICE,source,entity_name
Desano Ltd,202501,KG,USP,12621.0,83545970.0,6619.599873227161,Supplier,Desano Ltd
Desano Ltd,202505,KG,USP,10000.0,63993416.0,6399.3416,Supplier,Desano Ltd
Desano Ltd,202506,KG,USP,20000.0,122713486.0,6135.6743,Supplier,Desano Ltd
Desano Ltd,202507,KG,USP,1100.0,7016680.0,6378.8,Supplier,Desano Ltd
Desano Ltd,202508,KG,USP,15367.0,95306136.0,6202.000130149021,Supplier,Desano Ltd
Desano Ltd,202509,KG,USP,14718.0,92022582.0,6252.3836119037915,Supplier,Desano Ltd
Desano Ltd,202511,KG,USP,10462.0,65772969.0,6286.844675970177,Supplier,Desano Ltd
Desano Ltd,202512,KG,USP,5050.0,34118810.0,6756.2,Supplier,Desano Ltd
Desano Ltd,202602,KG,USP,26936.05,172277075.0,6395.780932987576,Supplier,Desano Ltd
